,name,release_dates,platforms,meta_scores,user_scores,summeries,num_meta_critics,developer,publisher,amount_of_platforms,all_genres
618,The Darkside Detective: A Fumble in the Dark,"April 15, 2021",PC,84,8.3,"Delouse your room with sage and pack up your travel-sized ouija board, it’s time to re-enter Twin Lakes - America’s 34th most haunted city. Join Detective McQueen as he puzzles his way through 6 chilling cases, risking life and pixelated limb to solve the macabre mysteries that plague the poor town.",8,Spooky Doorway,Spooky Doorway,6,"General,Adventure,Text,Point-and-Click"
619,Nioh: Complete Edition,"November 7, 2017",PC,84,7.1,"Ready to die? Experience the newest brutal action game from Team NINJA and Koei Tecmo Games. In the age of samurai, a lone traveler lands on the shores of Japan. He must fight his way through the vicious warriors and supernatural Yokai that infest the land in order to find that which he seeks.",23,Team Ninja,Koei Tecmo Games,2,"Role-Playing,Action RPG"
620,ICEY,"November 17, 2016",PC,84,7.7,"ICEY is a 2D side-scrolling ACT and a META game in disguise. As you follow the narrator's omnipresent voice, you will see through ICEY's eyes and learn the truth about her world. The narrator will constantly urge you in one direction, but you must ask, ""Why? Why am I following his directions?",12,"Shanghai FantaBlade Network Technology Co., Ltd.",X.D. Network Inc.,4,"Action,Platformer,2D"
621,Grim Fandango Remastered,"January 26, 2015",PC,84,8.1,"Something is rotten in the land of the Dead, and you are being played for a sucker. Please meet Manny Calavera, travel agent at the Department of Death. He sells luxury packages to souls on their 4-year trip to eternal rest. But there is trouble in paradise. Help Manny untangle himself from a conspiracy that threatens his very salvation. [Double Fine]",38,Double Fine Productions,Double Fine Productions,6,"Adventure,3D,Third-Person,Fantasy"
622,Age of Empires II: Definitive Edition,"November 14, 2019",PC,84,8.8,"Age of Empires II: Definitive Edition celebrates the 20th anniversary of one of the most popular strategy games ever with stunning 4K Ultra HD graphics, a new and fully remastered soundtrack, and brand-new content, “The Last Khans” with 3 new campaigns and 4 new civilizations.",32,"Ensemble Studios, Forgotten Empires LLC",Xbox Game Studios,1,"Strategy,Real-Time,Command"
623,Spiritfarer,"August 18, 2020",PC,84,8.1,"A cozy management game about dying.  What will you leave behind?
Play as Stella, ferrymaster to the deceased, a Spiritfarer. Build a boat to explore the world, then befriend and care for spirits before finally releasing them into the afterlife. 

A unique, endlessly varied adventure!
Farm, mine, fish, harvest, cook, and craft your way across mystical seas. Unwind for hours into cozy and relaxing gameplay. Join the adventure as Daffodil the cat, in two-player cooperative play.

Learn how to say goodbye.
Experience moving, emotional stories filled with unforgettable moments. Spend relaxing quality time with your spirit passengers, create lasting memories, and, ultimately, learn how to say goodbye to your cherished friends. What will you leave behind?",33,Thunder Lotus Games,Thunder Lotus Games,5,"Action Adventure,Sandbox"
624,Thimbleweed Park,"March 30, 2017",PC,84,8.1,"Thimbleweed Park is the curious story of two washed up federal agents called in to investigate a dead body found in the river just outside of town, bloated and pixelated from a death come too soon.",59,Ron Gilbert and Gary Winnick,Terrible Toybox,5,"Adventure,Point-and-Click"
625,The Lord of the Rings: The Battle for Middle-Earth II,"March 2, 2006",PC,84,7.8,"Given a new agreement with The Saul Zaentz Company d/b/a Tolkien Enterprises that grants EA the rights to develop games based on the books, in addition to a separate agreement that allows for games based on the New Line Cinema films The Lord of the Rings, The Battle for Middle-earth II will introduce players to depths of the fiction never before explored by EA. With all new content from J.R.R. Tolkien's original fiction, delve deeper than ever before and engage in new battles that go beyond the award-winning movie trilogy. Wage war in the North and assume command of the most storied civilizations in all of Middle-earth history -- the Elven and Dwarven armies -- or fight on the side of Evil with heroes and creatures that have never been seen in The Lord of the Rings films. Defend or overtake never before seen lands such as Dol Guldur, The Misty Mountains, and Mirkwood as you unleash powerful new weapons and abilities - summon dragons, cause volcanoes to erupt, or bring down a cataclysmic lightning strike. But beware, with greater power comes greater adversity. Your enemies, commanded by a powerful new AI system, possess a greater tactical edge and more powerful spells. Will your armies have the fortitude to persevere? [Electronic Arts]",36,EA LA,EA Games,2,"Strategy,Real-Time,Fantasy,General,Fantasy"
626,Battlefield Vietnam,"March 14, 2004",PC,84,7.6,"The Battlefield franchise enters a new era equipped with more firepower, modernized weaponry and vehicles, and a deeper infantry experience from the jungles to the beaches of Vietnam. From villages on the Ho Chi Minh Trail to the city streets of Hue, wage modern warfare as the United States or North Vietnamese Army (NVA). Select from a variety of characters within the different soldier classes as you command powerful new vehicles including the UH-1 Huey helicopter, the M551 Sheridan tank, and the F-4 Phantom fighter jet on the U.S. side and the Russian-made T-54 tank, the MIG-21, and Mi-8 multipurpose helicopter on the NVA side. Go to war in new dramatic battle scenarios including leading a squadron of Huey helicopters in an all-out attack on an enemy compound, executing an ambush of enemy soldiers from dense foliage, captaining a PT boat through a dangerous jungle river passage, and more. Grab your M-16, ready the Napalm and prepare to enter some of the fiercest battles of the Vietnam War. [Electronic Arts]",48,Digital Illusions,EA Games,1,"Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade"
627,Medieval: Total War - Viking Invasion,"May 7, 2003",PC,84,8.4,"Medieval: Total War - Viking Invasion challenges players to control eight new factions, including the Vikings themselves, the Saxons, Scots, Irish, Welsh and Picts, and embark on a campaign to dominate the British Isles. With a wealth of new historical heroes, players can lead a range of new units into battle, including Viking Berserkers, Saxon Huscarles and Fyrdmen, while conducting sieges enhanced by the introduction of flaming arrows and boiling oil. Viking Invasion introduces new features that will be welcomed by fans of the franchise Players can now plan reinforcements and scout enemy formations before taking to the field from a new pre-battle screen. In addition, there will be new playable factions and a new heavy weapon in the shape of the fearsome Organ Gun. [Activision]",16,Creative Assembly,Activision,1,"Strategy,Real-Time,Historic,General,Historic"
628,Fallout 4,"November 9, 2015",PC,84,5.6,"As the sole survivor of Vault 111, you enter a world destroyed by nuclear war. Every second is a fight for survival, and every choice is yours. Only you can rebuild and determine the fate of the Wasteland. Welcome home.",38,Bethesda Game Studios,Bethesda Softworks,3,"General,Role-Playing,Western-Style"
629,Guild Wars Nightfall,"October 26, 2006",PC,84,8.5,"Guild Wars Nightfall continues the tradition of inviting players to immerse themselves in an epic storyline centered in a vibrant fantasy setting, build personalized characters, compete in head-to-head battles with players from around the world, and find adventure in missions and quests, in a Guild Wars game unlike any players have seen before. Two new professions are introduced in the game; the Dervish, a scythe-wielding holy warrior, and the Paragon, guardian angel of the Elonian people. [NCSoft]",30,ArenaNet,NCSOFT,1,"Role-Playing,Miscellaneous,General,General,Compilation,Massively Multiplayer"
630,Patrick's Parabox,"March 29, 2022",PC,84,8.0,A mind-bending recursive puzzle game about boxes within boxes within boxes within boxes. Learn to use infinity to your advantage as you explore a deep and elegant system.,7,Patrick Traynor,Patrick Traynor,1,"Puzzle,Action"
631,The Binding of Isaac,"September 28, 2011",PC,84,8.3,Isaac is a roguelike shooter based on the dungeon structure of Zelda (nes). At its core it controls like Smash TV / Robotron in a randomly generated semi RPG world filled with powerups items and special abilities.,30,"Edmund McMillen, Florian Himsl",Edmund McMillen,3,"Action,Action Adventure,Shooter,Horror,Horror,Shooter,Static,Shoot-'Em-Up,Top-Down"
632,Enemy Territory: Quake Wars,"October 2, 2007",PC,84,8.3,"Enemy Territory: Quake Wars pits the armies of Earth against the invading alien Strogg in the ultimate online strategic shooter.  Featuring strategic team play, persistent character promotions, day and nighttime combat missions, and the universe's most powerful weapons and vehicles, the game transports players to the front lines of an epic new war for Earth. As the invasion begins, players choose to battle as one of five unique classes in either the EDF (Earth Defense Force - humans) or the barbaric alien Strogg armies, each augmented with specialist weapons and combat hardware.  Troops utilize over 40 conventional and futuristic vehicles, deployable structures, and defense systems like quad-bikes, tanks, and alien walkers for epic ground assaults; or helicopters and anti-gravity ships to lend firepower from the air.   Throughout each battle, teams establish bases, deploy defense structures, artillery, radar, and advanced forward-command systems into enemy territory while constructing and demolishing obstacles to speed progress and gain a tactical advantage over the enemy. Players can take on class specific missions or join a fireteam to utilize advanced command and communication options, including voice-chat and the game's context sensitive mission order system.  With bitterly contested multi-battle campaigns, each soldier fights not only for victory, but to gain valuable skills, special rewards for team-play, and persistent military promotions and medals. [id Software]",55,Splash Damage,Activision,3,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
